Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
M.Salah,MID,14.5,92,7.3,5.4,5.3,6.6,6.4,31.0,0.43,58.6%
Palmer,MID,10.5,86,5.9,5.5,5.8,5.2,4.7,27.1,0.52,54.6%
Haaland,FWD,14.0,91,6.0,5.9,5.1,5.6,4.0,26.5,0.38,20.6%
Saka,MID,10.0,87,5.0,6.3,3.8,5.5,4.5,25.0,0.50,15.5%
B.Fernandes,MID,9.0,88,4.7,4.9,6.2,4.0,5.0,24.8,0.55,15.1%
Marmoush,MID,8.5,74,5.0,5.5,4.7,5.0,3.7,23.9,0.56,13.4%
Watkins,FWD,9.0,79,4.8,4.6,5.0,4.2,5.1,23.8,0.53,18.0%
Wirtz,MID,8.5,87,5.6,4.3,4.2,4.9,4.8,23.6,0.56,32.3%
Eze,MID,7.5,86,3.9,4.9,3.9,5.6,4.4,22.6,0.60,9.1%
Bowen,FWD,8.0,91,5.0,4.1,3.8,4.1,4.3,21.2,0.53,20.1%
Mateta,FWD,7.5,87,3.7,4.4,3.7,5.2,4.0,21.1,0.56,6.2%
Rogers,MID,7.0,77,4.0,3.9,4.3,3.7,4.6,20.4,0.58,22.7%
Tielemans,MID,6.0,86,4.2,3.8,4.3,3.7,4.4,20.3,0.68,1.8%
Gibbs-White,MID,7.5,87,4.6,3.9,4.7,3.0,4.0,20.3,0.54,4.8%
Gakpo,MID,7.5,69,4.5,3.6,3.5,4.3,4.2,20.2,0.54,5.6%
Wood,FWD,7.5,80,4.7,3.8,4.6,3.1,4.0,20.2,0.54,16.1%
Ødegaard,MID,8.0,84,4.0,4.9,3.3,4.3,3.6,20.0,0.50,3.3%
Evanilson,FWD,7.0,84,3.4,4.6,3.7,4.2,3.9,19.8,0.57,2.5%
Anderson,MID,5.5,87,4.3,4.0,4.3,3.2,4.0,19.7,0.72,5.2%
Ndiaye,MID,6.5,75,4.1,4.3,4.0,4.1,3.1,19.7,0.61,12.9%
Sarr,MID,6.5,82,3.4,4.1,3.5,4.9,3.8,19.7,0.60,2.3%
Enzo,MID,6.5,88,4.2,4.0,4.2,3.8,3.4,19.6,0.60,3.9%
Rice,MID,6.5,84,4.0,4.7,3.2,4.2,3.5,19.5,0.60,7.4%
Solanke,FWD,7.5,62,4.2,3.3,4.4,4.1,3.5,19.5,0.52,10.5%
Semenyo,MID,7.0,86,3.2,4.7,3.5,4.1,4.0,19.5,0.56,5.0%
Joelinton,MID,6.0,89,3.8,3.6,4.0,4.4,3.6,19.4,0.65,0.5%
Virgil,DEF,6.0,91,4.4,3.5,3.4,4.1,4.0,19.4,0.65,25.2%
Kudus,MID,6.5,79,5.0,3.1,4.2,3.5,3.4,19.1,0.59,24.4%
Strand Larsen,FWD,6.5,84,3.7,3.7,3.8,3.4,4.4,19.1,0.59,5.8%
Gyökeres,FWD,9.0,59,3.8,4.5,2.9,4.2,3.6,18.9,0.42,24.0%
Mitoma,MID,6.5,85,4.4,3.7,3.4,3.5,3.9,18.8,0.58,6.1%
Bruno G.,MID,6.5,89,3.6,3.6,3.9,4.2,3.6,18.8,0.58,1.5%
Mac Allister,MID,6.5,84,4.3,3.5,3.3,3.8,3.8,18.8,0.58,1.5%
Iwobi,MID,6.5,84,3.6,3.9,3.1,4.1,3.9,18.7,0.58,1.5%
Frimpong,DEF,6.0,77,4.4,3.1,3.2,4.1,3.9,18.7,0.62,25.2%
Murillo,DEF,5.5,88,4.2,3.7,3.9,2.7,4.0,18.4,0.67,5.0%
Damsgaard,MID,6.0,86,3.7,3.8,4.0,3.5,3.4,18.3,0.61,1.2%
A.Becker,GK,5.5,93,4.0,3.4,3.5,3.7,3.7,18.3,0.67,11.2%
Raya,GK,5.5,93,3.7,4.1,3.1,3.9,3.5,18.3,0.67,17.7%
L.Paquetá,MID,6.0,80,4.3,3.6,3.4,3.4,3.6,18.3,0.61,1.1%
Cunha,MID,8.0,73,3.4,3.8,4.4,3.0,3.7,18.3,0.46,10.1%
Georginio,MID,6.0,70,4.4,3.6,3.3,3.4,3.6,18.2,0.61,0.5%
N.Williams,DEF,5.0,90,4.2,3.4,4.2,2.5,3.8,18.1,0.72,5.5%
Gabriel,DEF,6.0,80,3.5,4.6,2.6,4.2,3.2,18.1,0.60,21.2%
Tarkowski,DEF,5.5,92,4.1,3.9,3.9,3.5,2.6,18.0,0.65,5.1%
Pedro Porro,DEF,5.5,81,5.0,2.3,4.0,3.5,3.0,17.9,0.65,11.9%
Cucurella,DEF,6.0,90,4.2,3.6,3.9,3.2,3.1,17.9,0.60,18.8%
Sánchez,GK,5.0,93,3.8,3.6,3.8,3.5,3.3,17.9,0.72,16.8%
Gordon,MID,7.5,70,3.7,3.4,3.7,3.9,3.1,17.9,0.48,3.0%
Schade,MID,7.0,76,2.7,3.9,4.2,3.5,3.5,17.8,0.51,1.7%
